Title,Year,Genre,Director,Cast,Rating,Description
Le grand amour,1969,Comedy Romance,Pierre Étaix,  Annie Fratellini Nicole Calfan Alain Janey,7.5,After fifteen years of average married life and stifling in-laws a businessman undergoes a midlife crisis and pursues his attractive young secretary.
Tim's Vermeer,2013,Documentary History,Teller, Tim Jenison Penn Jillette Martin Mull Philip Steadman,7.8,Inventor Tim Jenison seeks to understand the painting techniques used by Dutch Master Johannes Vermeer.
Upside Down: The Creation Records Story,2010,Documentary Music,Danny O'Connor, Alan McGee Bobby Gillespie Noel Gallagher Chris Abbot,7.2,The definitive film about Creation Records one of the world's most successful and colorful independent labels.
The Shock Doctrine,2009,Documentary History,Mat Whitecross, Michael Winterbottom Janine Huard Ewen Cameron Naomi Klein Milton Friedman,7.6,An investigation of "disaster capitalism" based on Naomi Klein's proposition that neo-liberal capitalism feeds on natural disasters war and terror to establish its dominance.
Blinkende lygter,2000,Action Comedy Crime,Anders Thomas Jensen, Søren Pilmark Ulrich Thomsen Mads Mikkelsen Nikolaj Lie Kaas,7.5,A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4000000 in the bag they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Jutland and renovate it.
Thunder,1982,Short,Takashi Itô, Seiko Nakano,7.1,A woman's face disappearing behind and emerging from a pair of hands. Flashing lights. An empty building full of dark hallways.
La prima cosa bella,2010,Comedy Drama,Paolo Virzì, Valerio Mastandrea Micaela Ramazzotti Stefania Sandrelli Claudia Pandolfi,7.1,A misanthropic professor returns to his hometown to assist his dying mother.
Lost in America,1985,Comedy,Albert Brooks,  Julie Hagerty Sylvia Farrel Tina Kincaid,7,A husband and wife in their 30s decide to quit their jobs live as free spirits and cruise America in a Winnebago.
Ravenous,1999,Adventure Horror Western,Antonia Bird, Guy Pearce Robert Carlyle David Arquette Jeremy Davies,6.9,In a remote military outpost in the 19th century Captain John Boyd and his regiment embark on a rescue mission which takes a dark turn when they are ambushed by a sadistic cannibal.
Near Dark,1987,Horror,Kathryn Bigelow, Adrian Pasdar Jenny Wright Lance Henriksen Bill Paxton,6.9,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.
Edge of Tomorrow,2014,Action Adventure Sci-Fi,Doug Liman, Tom Cruise Emily Blunt Bill Paxton Brendan Gleeson,7.9,A soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies.
They All Laughed,1981,Comedy Romance,Peter Bogdanovich, Audrey Hepburn Ben Gazzara Patti Hansen John Ritter,6.3,A madcap private-eye caper about a team of detectives who are following and are being followed by a group of beautiful women.
Light Is Calling,2004,Short,Bill Morrison, Eddie Phillips Lola Todd,7.1,A scene from The Bells (1926) is optically reprinted and edited to Michael Gordon¹s 7 minute composition. A meditation on the fleeting nature of life and love as seen through the roiling emulsion of an film.
Éloge de l'amour,2001,Drama,Jean-Luc Godard, Bruno Putzulu Cécile Camp Jean Davy Françoise Verny,6.2,An author works on a project on the subject of love and in the process crosses paths with a former love in his life.
The Barefoot Contessa,1954,Crime Drama Mystery,Joseph L. Mankiewicz, Humphrey Bogart Ava Gardner Edmond O'Brien Marius Goring,6.9,This is the life of a Hollywood movie star named Maria as told by writer/director Harry Dawes from being discovered in Madrid Spain until her funeral in Italy.
Little Man What Now?,1934,Drama Music Romance,Frank Borzage, Margaret Sullavan Douglass Montgomery Alan Hale Catherine Doucet,7.2,A young couple struggling against poverty must keep their marriage a secret in order for the husband to keep his job as his boss doesn't like to hire married men.
Saturday Evening Puss,1950,Animation Short Comedy,,,7.7,
Chopper,2000,Biography Crime Drama,Andrew Dominik, Eric Bana Simon Lyndon Vince Colosimo Renée Brack,7.1,Chopper tells the intense story of Mark "Chopper" Read a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book "From the Inside" upon which the film is based was a best-seller.
Gallipoli,1981,Adventure Drama History,Peter Weir, Mel Gibson Mark Lee Bill Kerr Harold Hopkins,7.4,Two Australian sprinters face the brutal realities of war when they are sent to fight in the Gallipoli campaign in Turkey during World War I.
Le dîner de cons,1998,Comedy,Francis Veber, Thierry Lhermitte Jacques Villeret Francis Huster Daniel Prévost,7.6,A few friends have a weekly fools' dinner where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.
Entre les murs,2008,Drama,Laurent Cantet, François Bégaudeau Agame Malembo-Emene Angélica Sancio Arthur Fogel,7.5,Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.
A Bronx Tale,1993,Crime Drama,Robert De Niro,  Chazz Palminteri Lillo Brancato Francis Capra,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Altered States,1980,Horror Sci-Fi Thriller,Ken Russell, William Hurt Blair Brown Bob Balaban Charles Haid,6.9,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.
Submarine,2010,Comedy Drama Romance,Richard Ayoade, Craig Roberts Sally Hawkins Paddy Considine Noah Taylor,7.3,15-year-old Oliver Tate has two objectives: to lose his virginity before his next birthday and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life.
Winnie the Pooh and Tigger Too,1974,Animation Short Comedy,See full summary John Lounsbery, Wolfgang Reitherman Sebastian Cabot Junius Matthews John Fiedler Barbara Luddy,7.8,Rabbit is tired of Tigger always bouncing him so he gets Pooh and Piglet together to come up with an idea to get the bounce out of Tigger. Rabbit suggests they take him into the middle of ... See full summary »
Standing in the Shadows of Motown,2002,Documentary Music,Paul Justman, Joe Hunter Jack Ashford Uriel Jones Richard 'Pistol' Allen,7.8,Documentary about the Funk Brothers a group of Detroit musicians who backed up dozens of Motown artists.
The Machinist,2004,Drama Thriller,Brad Anderson, Christian Bale Jennifer Jason Leigh Aitana Sánchez-Gijón John Sharian,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
Midnight in Paris,2011,Comedy Fantasy Romance,Woody Allen, Owen Wilson Rachel McAdams Kathy Bates Kurt Fuller,7.7,While on a trip to Paris with his fiancée's family a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.
The Mercenaries,1968,Action Adventure Drama,Jack Cardiff, Rod Taylor Yvette Mimieux Peter Carsten Jim Brown,6.8,A band of mercenaries led by Captain Curry travel through war-torn Congo across deadly terrain battling rival armies to steal $50 million in uncut diamonds. But infighting sadistic rebels and a time lock jeopardize everything.
Mouse Trouble,1944,Animation Short Comedy,Joseph Barbera, William Hanna Sara Berner William Hanna Harry Lang,7.8,Tom's new book on "how to catch a mouse" doesn't prove too helpful against Jerry; actually Jerry seems to make better use of it than Tom.
Super Duper Alice Cooper,2014,Documentary Biography Music,See full summary Sam Dunn, Reg Harkema Scot McFadyen Alice Cooper Sheryl Cooper Jack Curtis Pamela Des Barres,7.3,Super Duper Alice Cooper is the twisted tale of a teenage Dr Jekyll whose rock n roll Mr Hyde almost kills him. It is the story of Vincent Furnier preacher's son who struck fear into the ... See full summary »
Die freudlose Gasse,1925,Drama,Greta Garbo Georg Wilhelm Pabst, Asta Nielsen Greta Garbo Ágnes Eszterházy Werner Krauss,7.1,In post-WWI Vienna Greta (Greta Garbo) her kid sister and retired dad try to make it through tough times.
L'odore della notte,1998,Crime Drama Thriller,Claudio Caligari, Valerio Mastandrea Marco Giallini Giorgio Tirabassi Alessia Fugardi,6.9,A former policeman turns full-time criminal and goes on a downward spiral of crime in the 1990s Rome.
Star Spangled to Death,2004,Documentary History,Ken Jacobs, Jack Smith Jerry Sims Gib Taylor Bill Carpenter,7.4,Star Spangled to Death is a 2004 experimental film directed by Ken Jacobs consisting almost entirely of archive footage depicting the history of the United States in film.
Schalcken the Painter,1979,Drama Fantasy Horror,Leslie Megahey, Jeremy Clyde Maurice Denham Cheryl Kennedy John Justin,7,Can Schalcken save his love Rose from the clutches of a ghastly suitor before it is too late?
The Great Happiness Space: Tale of an Osaka Love Thief,2006,Documentary,See full summary Jake Clennell,,7.8,Welcome to The Great Happiness Space: Rakkyo Café. The club's owner Issei (22) has a staff of twenty boys all under his training to become the top escorts of Osaka's underground love ... See full summary »
The Finishing Touch,1928,Comedy Short,Clyde Bruckman, Leo McCarey Stan Laurel Oliver Hardy Dorothy Coburn Edgar Kennedy,7.2,The boys are contracted to build a house in a day but they have many mishaps and run into trouble with the nearby hospital staff due to their excessive noise.
Ça commence aujourd'hui,1999,Drama,Bertrand Tavernier, Philippe Torreton Maria Pitarresi Nadia Kaci Véronique Ataly,7.4,A teacher from a small depressed town is trying to do something useful.
Parting Glances,1986,Drama Music Romance,See full summary Bill Sherwood, John Bolger Richard Ganoung Steve Buscemi Adam Nathan,7.2,As Michael and Robert a gay couple in New York prepare for Robert's departure for a two-year work assignment in Africa Michael must face Robert's true motives for leaving while dealing ... See full summary »
Cheyenne Autumn,1964,Drama History Western,John Ford, Richard Widmark Carroll Baker Karl Malden Sal Mineo,6.7,The Cheyenne tired of broken U.S. government promises head for their ancestral lands but a sympathetic cavalry officer is tasked to bring them back to their reservation.
Hapax Legomena I: Nostalgia,1971,Short,Hollis Frampton, Michael Snow,6.7,Frampton slowly burning his black and white photographs as he describes and tells the story behind them.
Big Star: Nothing Can Hurt Me,2012,Documentary Music,Drew DeNicola, Olivia Mori Billy Altman Jon Auer Lester Bangs Chris Bell,7,Big Star: Nothing Can Hurt Me is a feature-length documentary film about the dismal commercial failure subsequent massive critical acclaim and enduring legacy of pop music's greatest cult phenomenon Big Star.
Creature Comforts,1989,Animation Short Comedy,Nick Park, Julie Sedgewick,7.7,A humourous and thought provoking view of what animals in zoos might be thinking about their captivity and surroundings.
Martin Eden,2019,Drama Romance,Pietro Marcello, Luca Marinelli Jessica Cressy Vincenzo Nemolato Marco Leonardi,7,Martin Eden struggles to rise above his destitute proletarian circumstances through an intense and passionate pursuit of self-education hoping to achieve a place among the literary elite.
The Man with the Golden Arm,1955,Crime Drama Romance,Otto Preminger, Frank Sinatra Kim Novak Eleanor Parker Arnold Stang,7.3,A junkie must face his true self to kick his drug addiction.
Christine,2016,Biography Drama,Christine Chubbuck Antonio Campos, Rebecca Hall Michael C. Hall Tracy Letts Maria Dizzia,6.9,The story of Christine Chubbuck a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.
Presto,2008,Animation Short Comedy,Doug Sweetland,,8.3,A stage magician's rabbit gets into a magical onstage brawl against his neglectful guardian with two magic hats.
The Pirate,1948,Adventure Comedy Musical,Vincente Minnelli, Judy Garland Gene Kelly Walter Slezak Gladys Cooper,6.9,A girl is engaged to the local rich man but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.
The White Stripes Under Great White Northern Lights,2009,Documentary Music,See full summary Emmett Malloy, Alex Debogorski Maria Durham Jack White Meg White,8,In 2007 the legendary American duo White Stripes toured Canada. Besides playing the usual venues they challenged themselves and played in buses cafés and for Indian tribal elders. Music ... See full summary »
